Date : 2025-03-06 15:45:46
Directory : /home/kid-a/homeworks/compiler/lab1
Total : 1013 files,  130883 codes, 6244 comments, 21489 blanks, all 158616 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
+--------------+------------+------------+------------+------------+------------+
| C++          |        551 |     86,067 |      1,625 |     14,801 |    102,493 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305220954.l                  | Lex          |        148 |          0 |         12 |        160 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305221001.l                  | Lex          |        148 |          0 |         12 |        160 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305221003.l                  | Lex          |        148 |          0 |         12 |        160 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305221009.l                  | Lex          |        148 |          0 |         12 |        160 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305221023.l                  | Lex          |        148 |          0 |         12 |        160 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305221025.l                  | Lex          |        148 |          0 |         12 |        160 |
| /home/kid-a/homeworks/compiler/lab1/.history/lexer_20250305203726.cpp              | C++          |         32 |          0 |          5 |         37 |
| /home/kid-a/homeworks/compiler/lab1/.history/lexer_20250305203736.cpp              | C++          |         32 |          0 |          5 |         37 |
| /home/kid-a/homeworks/compiler/lab1/.history/lexer_20250305203739.cpp              | C++          |         32 |          0 |          5 |         37 |
| /home/kid-a/homeworks/compiler/lab1/.history/lexer_20250305203809.cpp              | C++          |         40 |          0 |          6 |         46 |
| /home/kid-a/homeworks/compiler/lab1/.history/lexer_20250305203812.cpp              | C++          |         40 |          0 |          6 |         46 |
| /home/kid-a/homeworks/compiler/lab1/.history/lexer_20250305203814.cpp              | C++          |         40 |          0 |          6 |         46 |
| /home/kid-a/homeworks/compiler/lab1/.history/lexer_20250305203818.cpp              | C++          |         41 |          0 |          6 |         47 |
| /home/kid-a/homeworks/compiler/lab1/.history/lexer_20250305203821.cpp              | C++          |         41 |          0 |          6 |         47 |
| /home/kid-a/homeworks/compiler/lab1/.history/lexer_20250305203823.cpp              | C++          |         41 |          0 |          6 |         47 |
| /home/kid-a/homeworks/compiler/lab1/.history/lexer_20250305203827.cpp              | C++          |         41 |          0 |          6 |         47 |
| /home/kid-a/homeworks/compiler/lab1/.history/lexer_20250305203847.cpp              | C++          |         41 |          1 |          7 |         49 |
| /home/kid-a/homeworks/compiler/lab1/.history/lexer_20250305203849.cpp              | C++          |         41 |          1 |          7 |         49 |
| /home/kid-a/homeworks/compiler/lab1/.history/lexer_20250305203906.cpp              | C++          |         41 |          1 |          7 |         49 |
| /home/kid-a/homeworks/compiler/lab1/.history/lexer_20250305210710.cpp              | C++          |         42 |          1 |          7 |         50 |
| /home/kid-a/homeworks/compiler/lab1/.history/lexer_20250305210712.cpp              | C++          |         42 |          1 |          7 |         50 |
| /home/kid-a/homeworks/compiler/lab1/.history/lexer_20250305210713.cpp              | C++          |         42 |          1 |          7 |         50 |
| /home/kid-a/homeworks/compiler/lab1/.history/lexer_20250305210716.cpp              | C++          |         43 |          1 |          8 |         52 |
| /home/kid-a/homeworks/compiler/lab1/.history/lexer_20250305210720.cpp              | C++          |         44 |          1 |          7 |         52 |
| /home/kid-a/homeworks/compiler/lab1/.history/lexer_20250305210726.cpp              | C++          |         44 |          1 |          7 |         52 |
| /home/kid-a/homeworks/compiler/lab1/.history/lexer_20250305210730.cpp              | C++          |         44 |          1 |          7 |         52 |
| /home/kid-a/homeworks/compiler/lab1/.history/lexer_20250305210739.cpp              | C++          |         45 |          1 |          7 |         53 |
| /home/kid-a/homeworks/compiler/lab1/.history/lexer_20250305210742.cpp              | C++          |         45 |          1 |          9 |         55 |
| /home/kid-a/homeworks/compiler/lab1/.history/lexer_20250305210837.cpp              | C++          |         47 |          1 |          9 |         57 |
| /home/kid-a/homeworks/compiler/lab1/.history/lexer_20250305210843.cpp              | C++          |         47 |          1 |          9 |         57 |
| /home/kid-a/homeworks/compiler/lab1/.history/lexer_20250305210845.cpp              | C++          |         47 |          1 |          9 |         57 |
| /home/kid-a/homeworks/compiler/lab1/.history/lexer_20250305210852.cpp              | C++          |         48 |          1 |          8 |         57 |
| /home/kid-a/homeworks/compiler/lab1/.history/lexer_20250305210854.cpp              | C++          |         48 |          1 |          8 |         57 |
| /home/kid-a/homeworks/compiler/lab1/.history/lexer_20250305210857.cpp              | C++          |         48 |          1 |          8 |         57 |
